country,iso3,euregion,eastwest,eumember,party_short,party_original,party_long,party_id,family,govt,vote,seat,electionyear,epvote,eu_position,lrgen,lrecon,galtan,spendvtax,deregulation,redistribution,econ_interven,protectionism,civlib_laworder,sociallifestyle,religious_principles,immigrate_policy,multiculturalism,ethnic_minorities,anti_islam_rhetoric,environment,nationalism,regions,urban_rural,russian_interference,people_vs_elite,antielite_salience,corrupt_salience,members_vs_leadership,partyfacts_id
Belgium,BEL,West,west,EU member state,PVDA-PTB,Partij van de Arbeid van België,Workers’ Party of Belgium,119,rad left,not in government,8.62,8.100000381469727,2019,8.42,2.7272727489471436,0.3333333432674408,0.3333333432674408,4.583333492279053,0.75,0.5,0.3333333432674408,0.5454545617103577,7.909090995788574,3.125,2.444444417953491,1.375,2.545454502105713,2.700000047683716,2.3333332538604736,2.5714285373687744,4.333333492279053,2.1111111640930176,8.090909004211426,2.857142925262451,0.1111111119389534,6.888888835906982,8.636363983154297,4.545454502105713,8.125,1753
Belgium,BEL,West,west,EU member state,VU/NVA,Volksunie; Nieuw-Vlaamse Alliantie,People’s Union; New Flemish Alliance,110,regionalist,not in government,16.03,16.899999618530273,2019,14.17,4.25,7.916666507720947,7.916666507720947,6.090909004211426,7.666666507720947,7.5,7,7.454545497894287,4,7.916666507720947,5.636363506317139,4.900000095367432,8.416666984558105,7.916666507720947,6.545454502105713,6.222222328186035,7.833333492279053,8,2.25,6.285714149475098,0.1111111119389534,4.300000190734863,5.909090995788574,2.2727272510528564,8.090909004211426,36
Belgium,BEL,West,west,EU member state,AGALEV,Agalev; Groen!,Agalev; Green!,105,green,not in government,6.1,5.400000095367432,2019,7.81,6.583333492279053,2.4166667461395264,2.6666667461395264,1.1666666269302368,2.3333332538604736,2.200000047683716,2.25,2.3636362552642822,5.909090995788574,2.0833332538604736,0.9090909361839294,1.7999999523162842,2.25,1.9166666269302368,2,2.777777671813965,0.8333333134651184,1.9166666269302368,6.083333492279053,1.899999976158142,0.1111111119389534,5.636363506317139,2.3636362552642822,2,4,528
Belgium,BEL,West,west,EU member state,VB,Vlaams Blok; Vlaams Belang,Flemish Bloc; Flemish Interest,112,rad right,not in government,11.95,12.199999809265137,2019,12.05,2.25,9.583333015441895,5,8,5.636363506317139,5,4.416666507720947,4.875,7.666666507720947,9.416666984558105,8.363636016845703,6.166666507720947,9.833333015441895,9.583333015441895,8.545454978942871,8.777777671813965,8.333333015441895,9,2.090909004211426,5.166666507720947,0.1111111119389534,8.090909004211426,8.909090995788574,4.181818008422852,9.199999809265137,553
Belgium,BEL,West,west,EU member state,VLD/PVV,Open Vlaamse Liberalen en Democraten,Open Flemish Liberals and Democrats,107,liberal,in government,8.54,8.100000381469727,2019,10.07,6.833333492279053,6.583333492279053,7.166666507720947,2.454545497894287,7.083333492279053,7.400000095367432,6,6.818181991577148,2.545454502105713,4.833333492279053,2,1.600000023841858,5.916666507720947,4.833333492279053,4.363636493682861,2.222222328186035,6.25,3,5.666666507720947,3.555555582046509,0.1111111119389534,5.7272725105285645,1.7272727489471436,1.545454502105713,6.636363506317139,49
Belgium,BEL,West,west,EU member state,SP/SPA,Socialistische Partij; Socialistische Partij Anders,Socialist Party; Socialist Party Diﬀerent,103,socialist,not in government,6.71,6.099999904632568,2019,6.45,6,3.0833332538604736,3.0833332538604736,2.75,2.6666667461395264,2.200000047683716,2,2,5.7272725105285645,3.6666667461395264,1.9090908765792847,1.600000023841858,4.083333492279053,3.3333332538604736,2.454545497894287,2.222222328186035,4.2727274894714355,3.0833332538604736,5.333333492279053,3,0.1111111119389534,3.545454502105713,2.090909004211426,1.6363636255264282,6.818181991577148,1680
Belgium,BEL,West,west,EU member state,ECOLO,Ecolo,Ecolo,104,green,not in government,6.14,8.800000190734863,2019,7.31,6.583333492279053,2.0833332538604736,2.5,1.0833333730697632,2.1666667461395264,2,1.9166666269302368,2.1818182468414307,5.818181991577148,2,1,1.899999976158142,2,1.75,2,2.8888888359069824,0.9166666865348816,1.75,6.166666507720947,1.7999999523162842,0.1111111119389534,5.636363506317139,2.454545497894287,2.3636362552642822,3.909090995788574,1563
Belgium,BEL,West,west,EU member state,PS,Parti Socialiste,Socialist Party,102,socialist,not in government,9.46,13.5,2019,9.74,6.083333492279053,2.0833332538604736,2.25,2.9166667461395264,2,2,1.5833333730697632,1.545454502105713,6.2727274894714355,3.090909004211426,2,1.5,3.4166667461395264,3.0833332538604736,2.6363637447357178,2.1111111640930176,4.5,3.454545497894287,6,3.3333332538604736,0.1111111119389534,3.3636362552642822,2.1818182468414307,1.9090908765792847,7.5,500
Belgium,BEL,West,west,EU member state,PRL/MR,Parti Réformateur Libéral; Mouvement Réformateur,Liberal Reformist Party; Reformist Movement,106,liberal,in government,7.56,9.5,2019,7.06,6.5,6.5,6.916666507720947,3.1818182468414307,6.583333492279053,6.900000095367432,5.833333492279053,6.636363506317139,2.7272727489471436,4.7272725105285645,2.7272727489471436,1.7999999523162842,5.583333492279053,4.916666507720947,4.454545497894287,2.3333332538604736,6.2727274894714355,3.3333332538604736,6.416666507720947,4.44444465637207,0.1111111119389534,4.636363506317139,1.7272727489471436,1.6363636255264282,7,789
Belgium,BEL,West,west,EU member state,CDV,Christelijke Volkspartij; Christen-Democratisch & Vlaams,Christian People’s Party; Christian Democratic & Flemish,109,christdem,in government,8.89,8.100000381469727,2019,9.17,6.583333492279053,5.583333492279053,5.583333492279053,6.25,5.25,5.5,5,4.909090995788574,4.400000095367432,5.083333492279053,5.363636493682861,6.800000190734863,5.666666507720947,5.25,4.545454502105713,2,5.454545497894287,5.75,3.8333332538604736,7.199999809265137,0.1111111119389534,3.7272727489471436,1.545454502105713,1.545454502105713,6.636363506317139,604
